method,method_label,train_times,metric,mean,std,count
ours,Ours,76,psnr,27.722154,2.811364,184
ours,Ours,76,ssim,0.865567,0.058343,184
ours,Ours,76,lpips,0.128990,0.027323,184
ours,Ours,80,psnr,27.709696,2.826857,173
ours,Ours,80,ssim,0.865309,0.060154,173
ours,Ours,80,lpips,0.126474,0.027285,173
ours,Ours,84,psnr,27.642195,2.761121,164
ours,Ours,84,ssim,0.865006,0.059758,164
ours,Ours,84,lpips,0.125670,0.027179,164
ours,Ours,88,psnr,27.528620,2.857883,160
ours,Ours,88,ssim,0.863491,0.061551,160
ours,Ours,88,lpips,0.125080,0.027562,160
ours,Ours,92,psnr,27.412743,2.925479,156
ours,Ours,92,ssim,0.862413,0.062210,156
ours,Ours,92,lpips,0.124740,0.027910,156
ours,Ours,96,psnr,27.413912,2.866861,149
ours,Ours,96,ssim,0.861852,0.063577,149
ours,Ours,96,lpips,0.122819,0.026988,149
ours,Ours,100,psnr,27.242016,2.797727,141
ours,Ours,100,ssim,0.860469,0.061761,141
ours,Ours,100,lpips,0.122194,0.027283,141
ours,Ours,104,psnr,27.183396,2.694828,136
ours,Ours,104,ssim,0.858532,0.063293,136
ours,Ours,104,lpips,0.122714,0.027564,136
ours,Ours,108,psnr,27.080095,2.592874,126
ours,Ours,108,ssim,0.856160,0.062718,126
ours,Ours,108,lpips,0.122196,0.027318,126
ours,Ours,112,psnr,26.933250,2.631875,119
ours,Ours,112,ssim,0.852919,0.061455,119
ours,Ours,112,lpips,0.123080,0.028570,119
ours,Ours,116,psnr,26.858672,2.550153,113
ours,Ours,116,ssim,0.852747,0.057997,113
ours,Ours,116,lpips,0.123313,0.028064,113
ours,Ours,120,psnr,26.892731,2.679676,108
ours,Ours,120,ssim,0.851998,0.060987,108
ours,Ours,120,lpips,0.121964,0.028102,108
ours,Ours,124,psnr,26.935768,2.700682,107
ours,Ours,124,ssim,0.852894,0.061983,107
ours,Ours,124,lpips,0.120822,0.027460,107
ours,Ours,128,psnr,26.922453,2.704953,103
ours,Ours,128,ssim,0.852828,0.064781,103
ours,Ours,128,lpips,0.118694,0.025931,103
ours,Ours,132,psnr,26.898534,2.791873,98
ours,Ours,132,ssim,0.851508,0.067518,98
ours,Ours,132,lpips,0.116870,0.026227,98
ours,Ours,136,psnr,26.865385,2.734687,94
ours,Ours,136,ssim,0.852558,0.065941,94
ours,Ours,136,lpips,0.116151,0.024936,94
ours,Ours,140,psnr,26.790828,2.863727,86
ours,Ours,140,ssim,0.854349,0.068517,86
ours,Ours,140,lpips,0.114620,0.025885,86
ours,Ours,144,psnr,26.610015,2.863257,80
ours,Ours,144,ssim,0.854861,0.068559,80
ours,Ours,144,lpips,0.114424,0.025813,80
ours,Ours,148,psnr,26.418968,2.861627,76
ours,Ours,148,ssim,0.854819,0.065927,76
ours,Ours,148,lpips,0.114297,0.026723,76
ours,Ours,152,psnr,26.336271,2.802841,73
ours,Ours,152,ssim,0.853570,0.070168,73
ours,Ours,152,lpips,0.115056,0.027696,73
ours,Ours,156,psnr,26.377049,2.628914,70
ours,Ours,156,ssim,0.860000,0.062835,70
ours,Ours,156,lpips,0.113094,0.027029,70
ours,Ours,160,psnr,26.228935,2.638534,65
ours,Ours,160,ssim,0.859376,0.062700,65
ours,Ours,160,lpips,0.112280,0.026937,65
ours,Ours,164,psnr,26.133903,2.675704,62
ours,Ours,164,ssim,0.859021,0.062102,62
ours,Ours,164,lpips,0.113307,0.027672,62
ours,Ours,168,psnr,25.562072,2.327643,57
ours,Ours,168,ssim,0.850892,0.066020,57
ours,Ours,168,lpips,0.116049,0.028121,57
ours,Ours,172,psnr,25.240556,1.957805,50
ours,Ours,172,ssim,0.847989,0.067407,50
ours,Ours,172,lpips,0.115372,0.027559,50
ours,Ours,176,psnr,25.212122,1.583948,46
ours,Ours,176,ssim,0.851027,0.051001,46
ours,Ours,176,lpips,0.116278,0.025248,46
ours,Ours,180,psnr,25.172473,1.482172,44
ours,Ours,180,ssim,0.850874,0.053715,44
ours,Ours,180,lpips,0.116763,0.027938,44
ours,Ours,184,psnr,25.190551,1.390001,39
ours,Ours,184,ssim,0.852014,0.052605,39
ours,Ours,184,lpips,0.115340,0.025993,39
ours,Ours,188,psnr,25.134730,1.374339,37
ours,Ours,188,ssim,0.855070,0.047531,37
ours,Ours,188,lpips,0.117445,0.029102,37
ours,Ours,192,psnr,25.034250,1.332523,34
ours,Ours,192,ssim,0.855754,0.041384,34
ours,Ours,192,lpips,0.117421,0.028673,34
ours,Ours,196,psnr,24.939737,1.600138,27
ours,Ours,196,ssim,0.850353,0.045904,27
ours,Ours,196,lpips,0.114377,0.028587,27
ours,Ours,200,psnr,24.803735,1.315945,23
ours,Ours,200,ssim,0.849221,0.045307,23
ours,Ours,200,lpips,0.117286,0.026708,23
ours,Ours,204,psnr,25.040485,1.025828,20
ours,Ours,204,ssim,0.851042,0.037237,20
ours,Ours,204,lpips,0.116994,0.024253,20
ours,Ours,208,psnr,25.166680,1.054208,15
ours,Ours,208,ssim,0.855194,0.025731,15
